state_abbrev,fips,local_voter_score,partisan_score,p_turnout_score,m_turnout_score,offyear_m_turnout_score,pp_turnout_score,nonpp_turnout_score,climate_score,yale_score,biden_support_score
MO,021,36.778249617427313,38.831253908692922,62.944237469847216,55.899475118377566,14.851967747699458,24.70069909765029,28.42593808630394,35.085808803672698,17.750162030785862,36.46345530650823
KY,099,39.756699947451395,44.957046627591637,59.991750503018103,48.242699676318779,26.472347126235672,20.745149155804391,22.740486396640719,36.048300928358742,15.019337887545976,32.284314240672629
OH,163,39.494237647370511,32.543303748840906,61.760511326003424,51.222784474764865,25.788289839713872,28.429540336468413,19.802503642866601,31.844442972579159,10.74795337130746,22.308742879851643
PA,023,42.431786461967903,31.307347361159014,62.524974129009991,56.287340462228364,33.969230769230762,27.746981717833741,33.430079337702665,31.259595254710387,12.447208653175158,26.357083042568043
OK,073,42.660256225708935,15.402912205567452,63.692662384011427,52.814461099214846,19.633661670235547,23.850635260528197,34.700642398286945,21.225996833165397,10.691910177054844,17.714495465668637
MO,127,38.201308434178991,27.759782873871682,64.057806782141995,55.123658209319359,14.645291534520616,25.060411075872171,28.169828006830933,25.037600589716813,13.872774740463175,27.293543829473549
SD,109,41.508938186517319,53.699160025845366,63.598363127288394,52.978289898772339,18.962998061598107,25.875533060521203,27.655244454016795,42.45229377557613,19.556256730562136,35.59328020676287
IA,087,32.88381767860232,39.477421578765949,67.690701482247519,57.19072733540159,10.420949672526719,19.05512754222682,20.912271630472254,33.675661650233522,14.524001037882725,30.510793980280233
SC,,29.700831862868661,61.1691706579279,48.732165364255117,37.419586589362247,7.4640786488530377,17.548525334005546,15.21915805394505,54.498185026468363,24.77585076884295,46.692361986387702
KS,039,46.545801968731908,13.013934894346084,63.570988006853213,56.121987435751002,19.403655054254713,31.511764705882349,30.42958309537407,19.783323682686735,7.8020266357845971,13.714475969889985
IN,115,34.792997639653812,31.806608969315501,63.813191712562279,56.014791502753738,10.497272488853922,25.519066351953843,20.606031995803821,29.135877261998427,9.8224232887490128,19.877838971938107
NE,093,40.95027387473209,28.349135276000943,66.026415541340924,54.465339966832509,18.648898365316271,26.244989339019185,24.701374081971093,25.246153846153845,12.485687068349606,20.052036199095028
WV,007,40.333218192285557,54.996200345423148,60.178324697754718,51.98683074265977,16.413413932066781,32.685938399539431,33.211168681635016,44.78956534254462,17.916609096142775,34.198978123200909
AL,099,44.867349167349168,44.496355555555553,65.827715555555585,53.507075555555552,8.7832355555555548,32.508151111111118,27.531831111111114,41.392474292474276,22.14979524979525,42.26325416325416
WV,073,39.180663816947458,47.584812672868985,62.737339703293927,54.718229821473479,17.239778727684183,33.917198893638421,32.211616796580337,36.706512446567757,12.388710082977116,25.283303997988433
TX,103,35.775616565844579,41.678354779411762,56.934053308823522,44.071415441176477,10.983318014705883,27.53056066176471,22.729779411764707,25.335318752908332,12.32163797114937,23.083759888320149
ID,047,43.60029393564357,25.099737004950491,62.190655940594084,54.457657797029711,19.384467821782181,23.113567450495047,28.957162747524741,21.223669554455448,10.436386138613862,20.426918316831685
TX,167,29.479847179210985,50.739000027684796,63.239685501508745,53.625642700921915,12.698219318402039,24.423115639102036,18.870048448271088,42.230051950092012,20.64486950765227,36.388046429693446
WA,015,43.892218080927947,46.502767703441258,70.481740845352917,63.639896043989111,31.680473985927495,23.389044507211711,38.420899837882111,39.881909043806722,19.029479701158262,36.822461600173831
CA,071,29.936944455173613,62.092341869001096,67.102794265831037,56.291925177247357,5.7581085057147812,24.151220709170389,27.116328000481655,48.949902529019752,27.744961840906466,49.056878633861231
TX,439,29.885656202416801,57.673910547940181,61.532183256337959,53.510570000838513,13.636606048385469,23.893875151228819,20.433107004675609,46.002704850649494,24.087767579453789,42.567963055204629
MN,123,33.281142746081422,73.689332347221537,72.637659836465588,67.793119992791915,17.971500491804498,18.647740702642313,24.902365166725485,62.764532036600251,37.675899665781252,62.21516979607707
IA,153,28.854951929259261,59.415889463943117,71.216813738978971,63.762486571248672,13.371176716712707,15.361185348808386,21.03099864675881,52.551425859108441,30.415796400934941,51.414737785644618
GA,057,33.711585070607519,39.760704101993404,71.448083343760089,62.793048540364687,12.600335851119178,24.605280106418771,26.571398655278468,33.631406246890826,14.280097902005137,26.06983477378402
IN,141,29.915424608877203,42.183972994590796,61.651437034827786,53.64675379255182,8.760396133562903,25.630107235334851,18.676870517739246,48.007493018085192,23.413847238415453,45.208416935549458
FL,115,36.032305379008854,45.849891025530674,67.456151978928162,61.835344225041716,11.249969872777028,23.266552584915903,31.506472360424862,41.629377101447254,22.137658282921819,38.917438096497762
MO,099,34.4729902708117,25.480256060739293,66.891123618561778,58.32210594201625,12.172322135256357,27.336985899803679,26.289067950634642,27.36810063560101,16.374605419179979,35.951474108280507
KS,173,31.561071659617749,44.147731418360415,63.95876765102512,56.317682417145598,14.365055706839739,20.098785557458616,21.263833834242927,37.863628714703985,20.022461922764808,38.243257534113361
CO,067,36.970418446342762,57.433365324155261,75.615961213886266,66.870612569083605,33.809481417744969,21.963358374424995,34.303130688023309,53.481730512546712,29.845792178323553,51.665700080085436
CO,079,52.336024844720498,50.763092783505158,81.593814432989689,72.248659793814426,41.883711340206197,35.079999999999998,42.06371134020619,44.49958592132505,23.057142857142853,40.38095238095238
OR,005,36.328818938054546,57.09080880256159,72.776319691698518,64.037164424745612,13.977336499995939,32.418040607151958,31.607208502733492,53.627303502611248,30.522389743923995,48.483937199051624
MS,087,38.074237040480845,49.178159659958808,62.087945805937458,54.351288437271712,23.286966195125185,27.064866839343825,21.231370790994227,44.991282834656111,20.425334573107964,40.326466974396432
FL,117,32.241049786550938,51.058116253452063,68.645930431005027,61.754315868681594,7.7487626834641841,25.415440469171944,27.889677521953637,45.978793749243266,26.270888127702296,46.761573312815209
