geoid,age,race,population,registered,reg_frac
01087,35-64,Other,11,28,2.5454545454545454
01087,35-64,White,1203,768,0.6384039900249376
01087,35-64,Hispanic,5,10,2.0
01087,65+,Native American,4,1,0.25
01087,65+,Asian,3,1,0.3333333333333333
01087,65+,Black,2873,2071,0.7208492864601462
01087,65+,Other,1,19,19.0
01087,65+,White,718,562,0.7827298050139275
01087,65+,Hispanic,16,2,0.125
01089,18-34,Native American,496,255,0.5141129032258065
01089,18-34,Asian,2267,860,0.37935597706219676
01089,18-34,Black,26521,13711,0.5169865389691188
01089,18-34,Other,1543,803,0.5204147764095917
01089,18-34,White,50424,34598,0.6861415199111535
01089,18-34,Hispanic,4900,1256,0.2563265306122449
01089,35-64,Native American,984,374,0.3800813008130081
01089,35-64,Asian,4211,1723,0.40916646877226315
01089,35-64,Black,32264,21659,0.6713054797917183
01089,35-64,Other,1439,1249,0.8679638637943016
01089,35-64,White,100449,69732,0.6942030284024729
01089,35-64,Hispanic,5667,1700,0.2999823539791777
01089,65+,Native American,250,125,0.5
01089,65+,Asian,1229,747,0.6078112286411717
01089,65+,Black,8815,7942,0.900964265456608
01089,65+,Other,366,502,1.3715846994535519
01089,65+,White,41800,38907,0.9307894736842105
01089,65+,Hispanic,775,382,0.49290322580645163
01091,18-34,Native American,1,1,1.0
01091,18-34,Asian,1,10,10.0
01091,18-34,Black,2311,1256,0.5434876676763306
01091,18-34,Other,16,2,0.125
01091,18-34,White,1525,976,0.64
01091,18-34,Hispanic,16,12,0.75
01091,35-64,Native American,21,4,0.19047619047619047
01091,35-64,Asian,1,7,7.0
01091,35-64,Black,3978,2574,0.6470588235294118
01091,35-64,Other,3,12,4.0
01091,35-64,White,3314,2333,0.703983101991551
01091,35-64,Hispanic,14,17,1.2142857142857142
01091,65+,Native American,1,0,0.0
01091,65+,Asian,1,3,3.0
01091,65+,Black,1580,1314,0.8316455696202532
01091,65+,Other,2,2,1.0
01091,65+,White,2135,1684,0.7887587822014052
01091,65+,Hispanic,13,3,0.23076923076923078
01093,18-34,Native American,25,11,0.44
01093,18-34,Asian,1,7,7.0
01093,18-34,Black,266,105,0.39473684210526316
01093,18-34,Other,82,10,0.12195121951219512
01093,18-34,White,5073,3056,0.6024048886260596
01093,18-34,Hispanic,224,38,0.16964285714285715
01093,35-64,Native American,67,10,0.14925373134328357
01093,35-64,Asian,15,12,0.8
01093,35-64,Black,426,219,0.5140845070422535
01093,35-64,Other,91,15,0.16483516483516483
01093,35-64,White,10960,6603,0.6024635036496351
01093,35-64,Hispanic,197,40,0.20304568527918782
01093,65+,Native American,16,12,0.75
01093,65+,Asian,38,3,0.07894736842105263
01093,65+,Black,146,87,0.5958904109589042
01093,65+,Other,1,8,8.0
01093,65+,White,6067,4288,0.7067743530575243
01093,65+,Hispanic,21,7,0.3333333333333333
01095,18-34,Native American,58,31,0.5344827586206896
01095,18-34,Asian,93,35,0.3763440860215054
01095,18-34,Black,541,228,0.4214417744916821
01095,18-34,Other,346,56,0.16184971098265896
01095,18-34,White,15376,8655,0.5628902185223725
01095,18-34,Hispanic,3321,621,0.18699186991869918
01095,35-64,Native American,132,60,0.45454545454545453
01095,35-64,Asian,255,66,0.25882352941176473
01095,35-64,Black,818,337,0.4119804400977995
01095,35-64,Other,475,85,0.17894736842105263
01095,35-64,White,31416,19479,0.6200343773873186
01095,35-64,Hispanic,3367,441,0.13097713097713098
01095,65+,Native American,147,21,0.14285714285714285
01095,65+,Asian,20,21,1.05
01095,65+,Black,127,126,0.9921259842519685
01095,65+,Other,34,35,1.0294117647058822
01095,65+,White,15509,12654,0.8159133406409181
01095,65+,Hispanic,263,65,0.24714828897338403
01097,18-34,Native American,852,230,0.2699530516431925
01097,18-34,Asian,2222,605,0.2722772277227723
01097,18-34,Black,36843,18771,0.5094861981923297
01097,18-34,Other,1489,482,0.3237071860308932
01097,18-34,White,51420,27331,0.5315246985608713
01097,18-34,Hispanic,3136,521,0.16613520408163265
01097,35-64,Native American,1221,271,0.22194922194922195
01097,35-64,Asian,3159,1086,0.34377967711301044
01097,35-64,Black,53067,32110,0.6050841389187254
01097,35-64,Other,1231,893,0.7254264825345248
01097,35-64,White,93941,56721,0.6037938706209216
01097,35-64,Hispanic,3909,815,0.2084932207725761
01097,65+,Native American,436,91,0.20871559633027523
01097,65+,Asian,754,336,0.44562334217506633
01097,65+,Black,17754,14554,0.819758927565619
01097,65+,Other,337,324,0.9614243323442137
01097,65+,White,45147,36076,0.7990785655746783
01097,65+,Hispanic,1009,161,0.1595639246778989
01099,18-34,Native American,109,18,0.1651376146788991
01099,18-34,Asian,1,7,7.0
